date,region,price_index
2014-06-01,West Midlands,63.5
2014-07-01,West Midlands,63.6
2014-08-01,West Midlands,64.6
2014-09-01,West Midlands,64.4
2014-10-01,West Midlands,64.4
2014-11-01,West Midlands,64.3
2014-12-01,West Midlands,64.5
2015-01-01,West Midlands,63.9
2015-02-01,West Midlands,64.6
2015-03-01,West Midlands,64.1
2015-04-01,West Midlands,65.1
2015-05-01,West Midlands,65.5
2015-06-01,West Midlands,66.2
2015-07-01,West Midlands,66.8
2015-08-01,West Midlands,67.6
2015-09-01,West Midlands,67.4
2015-10-01,West Midlands,67.4
2015-11-01,West Midlands,68.0
2015-12-01,West Midlands,68.1
2016-01-01,West Midlands,68.3
2016-02-01,West Midlands,67.9
2016-03-01,West Midlands,68.1
2016-04-01,West Midlands,69.6
2016-05-01,West Midlands,70.3
2016-06-01,West Midlands,71.1
2016-07-01,West Midlands,71.2
2016-08-01,West Midlands,72.0
2016-09-01,West Midlands,72.0
2016-10-01,West Midlands,71.3
2016-11-01,West Midlands,72.1
2016-12-01,West Midlands,72.3
2017-01-01,West Midlands,71.8
2017-02-01,West Midlands,72.3
2017-03-01,West Midlands,72.3
2017-04-01,West Midlands,73.0
2017-05-01,West Midlands,73.7
2017-06-01,West Midlands,74.5
2017-07-01,West Midlands,75.3
2017-08-01,West Midlands,76.2
2017-09-01,West Midlands,75.8
2017-10-01,West Midlands,76.0
2017-11-01,West Midlands,75.9
2017-12-01,West Midlands,76.7
2018-01-01,West Midlands,75.6
2018-02-01,West Midlands,76.7
2018-03-01,West Midlands,76.5
2018-04-01,West Midlands,77.0
2018-05-01,West Midlands,77.0
2018-06-01,West Midlands,78.0
2018-07-01,West Midlands,79.0
2018-08-01,West Midlands,79.2
2018-09-01,West Midlands,79.7
2018-10-01,West Midlands,79.7
2018-11-01,West Midlands,79.1
2018-12-01,West Midlands,79.9
2019-01-01,West Midlands,78.7
2019-02-01,West Midlands,79.4
2019-03-01,West Midlands,78.5
2019-04-01,West Midlands,78.7
2019-05-01,West Midlands,79.3
2019-06-01,West Midlands,79.2
2019-07-01,West Midlands,79.6
2019-08-01,West Midlands,80.6
2019-09-01,West Midlands,80.7
2019-10-01,West Midlands,80.5
2019-11-01,West Midlands,80.5
2019-12-01,West Midlands,79.8
